//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB  EffectType     EffectSize   ColorSide
  //WING CONQUEROR
  6344		32060 		21		0		1.5	0.5	0.5	9.0		0.5		0.5
  6344		32060 		22		0		1.5	0.5	0.5	9.0		0.5		0.5
  6344		32060 		61		0		1.5	0.5	0.5	9.0		0.5		0.5
  6344		32060 		60		0		1.5	0.5	0.5	9.0		0.5		0.5
  6344		32060 		59		0		1.5	0.5	0.5	9.0		0.5		0.5
  6344		32060 		62		0		1.5	0.5	0.5	9.0		0.5		0.5
  6344		32060 		55		0		1.5	0.5	0.5	9.0		0.5		0.5
  6344		32060 		52		0		1.5	0.5	0.5	9.0		0.5		0.5
  6344		32060 		53		0		1.5	0.5	0.5	9.0		0.5		0.5
  6344		32060 		54		0		1.5	0.5	0.5	9.0		0.5		0.5
  6345		32232		08		0		0.36	0.98	1.02	9.0		1.0		1.0
  6345		32264		10		0		0.36	0.98	1.02	9.0		1.0		1.0
  6345		32264		11		0		0.36	0.98	1.02	9.0		1.0		1.0
  6345		32264		17		0		0.36	0.98	1.02	9.0		1.0		1.0
  6345		32264		32		0		0.36	0.98	1.02	9.0		1.0		1.0
  6345		32232		39		0		0.36	0.98	1.02	9.0		1.0		1.0
  6345		32264		45		0		0.36	0.98	1.02	9.0		1.0		1.0
  6345		32264		51		0		0.36	0.98	1.02	9.0		1.0		1.0
  6346		32335		03		0		1.02	0.0	0.0	0.0		0.0		0.5
  6346		32335		05		0		1.02	0.0	0.0	0.0		0.0		0.5
  6346		32335		04		0		1.02	0.0	0.0	0.0		0.0		0.2
  6346		32335		06		0		1.02	0.0	0.0	0.0		0.0		0.2
  6346		32335		08		0		1.02	0.0	0.0	0.0		0.0		0.2
  6346		32335		10		0		1.02	0.0	0.0	0.0		0.0		0.2
  6347		32252		02		0		0.98	1.02	0.48	9.0		1.0		0.6
  6347		32252		05		0		0.98	1.02	0.48	9.0		1.0		0.6
  6347		32252		06		0		0.98	1.02	0.48	9.0		1.0		0.6
  6347		32252		03		0		0.98	1.02	0.48	9.0		1.0		0.6
  6347		32252		07		0		0.98	1.02	0.48	9.0		1.0		0.6
  6347		32252		08		0		0.98	1.02	0.48	9.0		1.0		0.6
  6347		32252		09		0		0.98	1.02	0.48	9.0		1.0		0.6
  6347		32252		10		0		0.98	1.02	0.48	9.0		1.0		0.6
  6347		32252		11		0		0.98	1.02	0.48	9.0		1.0		0.6
  6347		32252		12		0		0.98	1.02	0.48	9.0		1.0		0.6
  6347		32252		13		0		0.98	1.02	0.48	9.0		1.0		0.6
  6347		32252		14		0		0.98	1.02	0.48	9.0		1.0		0.6
  6347		32252		15		0		0.98	1.02	0.48	9.0		1.0		0.6
  6347		32252		15		0		0.98	1.02	0.48	9.0		1.0		0.6
  6347		32252		17		0		0.98	1.02	0.48	9.0		1.0		0.6
  6347		32252		18		0		0.98	1.02	0.48	9.0		1.0		0.6
  6348		32263		8		0		1.02	0.0	0.0	0.0		0.0		0.5
  6348		32263		4		0		1.02	0.0	0.0	0.0		0.0		0.5
  6349		32003		03		0		0.66	0.21	1.02	0.0		0.0		0.1
  6349		32003		11		0		0.66	0.21	1.02	0.0		0.0		0.1
  6349		32003		12		0		0.66	0.21	1.02	0.0		0.0		0.1
  6349		32003		13		0		0.66	0.21	1.02	0.0		0.0		0.1

end 
